,ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
174,175,190, (30.8;-87.5;-10.9),"[""None"": 0.96]",Occipital_Inf_R,"[""Right Inferior Occipital Gyrus"": 0.42][""Right Lingual Gyrus"": 0.24][""Right Cerebellum"": 0.23]","[""Right Inferior Occipital Gyrus"": 0.45][""Right Fusiform Gyrus"": 0.21][""Right Declive"": 0.15]","[""Right Occipital Fusiform Gyrus"": 0.39][""Right Lateral Occipital Cortex; inferior division"": 0.28][""Right Occipital Pole"": 0.22]"
175,176,219, (1.1;-63.2;-33.4),"[""None"": 0.98]",Vermis_8,"[""Cerebellar Vermis"": 0.32][""Left Cerebellum"": 0.26][""Cerebellar Vermis"": 0.19]","[""Right Inferior Semi-Lunar Lobule"": 0.25][""Left Inferior Semi-Lunar Lobule"": 0.22][""Right Cerebellar Tonsil"": 0.13][""Right Uvula"": 0.13]","[""None"": 1.00]"
176,177,277, (-14.3;-74.2;-10.1),"[""None"": 0.94]",Lingual_L,"[""Left Cerebellum"": 0.41][""Left Lingual Gyrus"": 0.39][""Left Cerebellum"": 0.11]","[""Left Declive"": 0.51][""Left Lingual Gyrus"": 0.31]","[""Left Lingual Gyrus"": 0.59][""Left Occipital Fusiform Gyrus"": 0.31]"
177,178,251, (27.2;0.8;-0.1),"[""None"": 0.94]",Putamen_R,"[""Right Putamen"": 0.64][""Right Amygdala"": 0.14][""Right Pallidum"": 0.13]","[""Right Lentiform Nucleus"": 0.74]","[""Right Putamen"": 0.76]"
178,179,258, (-13.3;-52.9;-0.7),"[""None"": 0.91]",Lingual_L,"[""Left Lingual Gyrus"": 0.60][""Left Cerebellum"": 0.23]","[""Left Culmen"": 0.44][""Left Lingual Gyrus"": 0.28][""Left Parahippocampal Gyrus"": 0.12]","[""Left Lingual Gyrus"": 0.69][""Left Cingulate Gyrus; posterior division"": 0.13][""Left Precuneous Cortex"": 0.13]"
179,180,224, (56.0;-29.6;43.9),"[""None"": 0.99]",SupraMarginal_R,"[""Right SupraMarginal Gyrus"": 0.79][""Right Inferior Parietal Lobule "": 0.13]","[""Right Postcentral Gyrus"": 0.58][""Right Inferior Parietal Lobule"": 0.38]","[""Right Supramarginal Gyrus; anterior division"": 0.68][""Right Supramarginal Gyrus; posterior division"": 0.20][""Right Postcentral Gyrus"": 0.13]"
180,181,136, (45.7;13.3;-22.7),"[""None"": 1.00]",Temporal_Pole_Sup_R,"[""Right Temporal Pole"": 0.57][""Right Medial Temporal Pole"": 0.43]","[""Right Superior Temporal Gyrus"": 0.81][""Right Middle Temporal Gyrus"": 0.18]","[""Right Temporal Pole"": 0.99]"
181,182,220, (-8.1;0.5;65.9),"[""None"": 1.00]",Supp_Motor_Area_L,"[""Left SMA"": 0.77][""Left Superior Frontal Gyrus"": 0.22]","[""Left Superior Frontal Gyrus"": 0.46][""Left Medial Frontal Gyrus"": 0.30][""None"": 0.17]","[""Left Superior Frontal Gyrus"": 0.46][""Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)"": 0.40][""Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)"": 0.14]"
182,183,164, (-27.8;56.9;4.7),"[""None"": 0.88][""aPFC"": 0.12]",Frontal_Mid_L,"[""Left Middle Frontal Gyrus"": 0.37][""Left Superior Orbital Gyrus"": 0.23][""Left Middle Orbital Gyrus"": 0.21][""Left Superior Frontal Gyrus"": 0.18]","[""Left Middle Frontal Gyrus"": 0.51][""Left Superior Frontal Gyrus"": 0.48]","[""Left Frontal Pole"": 1.00]"
183,184,206, (-46.7;5.0;2.8),"[""None"": 0.88]",Insula_L,"[""Left Insula Lobe"": 0.31][""Left Temporal Pole"": 0.25][""Left Inferior Frontal Gyrus (p. Opercularis)"": 0.19][""Left Rolandic Operculum"": 0.12]","[""Left Insula"": 0.46][""Left Superior Temporal Gyrus"": 0.40][""Left Precentral Gyrus"": 0.12]","[""Left Central Opercular Cortex"": 0.33][""Left Insular Cortex"": 0.26][""Left Precentral Gyrus"": 0.16]"
