,ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
69,70,226, (-11.3;-70.4;5.9),"[""None"": 0.94]",Calcarine_L,"[""Left Lingual Gyrus"": 0.61][""Left Calcarine Gyrus"": 0.38]","[""Left Lingual Gyrus"": 0.58][""Left Cuneus"": 0.30]","[""Left Intracalcarine Cortex"": 0.50][""Left Lingual Gyrus"": 0.44]"
70,71,168, (29.6;24.6;-15.1),"[""None"": 1.00]",Frontal_Inf_Orb_R,"[""Right Inferior Frontal Gyrus (p. Orbitalis)"": 0.57][""Right Insula Lobe"": 0.21]","[""Right Inferior Frontal Gyrus"": 0.77][""Right Middle Frontal Gyrus"": 0.15]","[""Right Frontal Orbital Cortex"": 0.85]"
71,72,222, (-56.4;-15.1;-15.3),"[""None"": 0.94]",Temporal_Mid_L,"[""Left Middle Temporal Gyrus"": 0.75][""Left Inferior Temporal Gyrus"": 0.25]","[""Left Middle Temporal Gyrus"": 0.46][""Left Inferior Temporal Gyrus"": 0.34][""Left Fusiform Gyrus"": 0.19]","[""Left Middle Temporal Gyrus; posterior division"": 0.52][""Left Middle Temporal Gyrus; anterior division"": 0.21][""Left Superior Temporal Gyrus; posterior division"": 0.12][""Left Inferior Temporal Gyrus; posterior division"": 0.12]"
72,73,235, (-43.0;0.8;47.6),"[""None"": 0.90]",Precentral_L,"[""Left Precentral Gyrus"": 0.77][""Left Middle Frontal Gyrus"": 0.20]","[""Left Middle Frontal Gyrus"": 0.51][""Left Precentral Gyrus"": 0.48]","[""Left Precentral Gyrus"": 0.57][""Left Middle Frontal Gyrus"": 0.43]"
73,74,175, (-44.0;33.0;-8.1),"[""None"": 1.00]",Frontal_Inf_Orb_L,"[""Left Inferior Frontal Gyrus (p. Orbitalis)"": 0.89]","[""Left Inferior Frontal Gyrus"": 0.63][""Left Middle Frontal Gyrus"": 0.37]","[""Left Frontal Orbital Cortex"": 0.52][""Left Frontal Pole"": 0.35][""Left Inferior Frontal Gyrus; pars triangularis"": 0.11]"
74,75,172, (31.7;54.8;14.9),"[""None"": 0.89][""aPFC"": 0.11]",Frontal_Mid_R,"[""Right Middle Frontal Gyrus"": 0.54][""Right Superior Frontal Gyrus"": 0.44]","[""Right Middle Frontal Gyrus"": 0.64][""Right Superior Frontal Gyrus"": 0.36]","[""Right Frontal Pole"": 1.00]"
75,76,249, (-7.9;-33.1;45.5),"[""None"": 0.93]",Cingulum_Mid_L,"[""Left Middle Cingulate Cortex"": 0.77][""Left Precuneus"": 0.12]","[""Left Cingulate Gyrus"": 0.43][""Left Paracentral Lobule"": 0.33][""Left Precuneus"": 0.20]","[""Left Cingulate Gyrus; posterior division"": 0.49][""Left Precentral Gyrus"": 0.23][""Left Precuneous Cortex"": 0.18]"
76,77,228, (17.2;-80.1;-28.7),"[""None"": 0.85]",Cerebelum_Crus1_R,"[""Right Cerebellum"": 0.54][""Right Cerebellum"": 0.32]","[""Right Pyramis"": 0.31][""Right Uvula"": 0.30][""Right Inferior Semi-Lunar Lobule"": 0.26]","[""None"": 0.99]"
77,78,153, (-40.6;12.9;-28.2),"[""None"": 1.00]",Temporal_Pole_Mid_L,"[""Left Medial Temporal Pole"": 0.63][""Left Temporal Pole"": 0.30]","[""Left Superior Temporal Gyrus"": 0.76][""Left Middle Temporal Gyrus"": 0.20]","[""Left Temporal Pole"": 0.99]"
78,79,248, (0.0;-0.3;42.2),"[""None"": 0.95]",Cingulum_Mid_L,"[""Left Middle Cingulate Cortex"": 0.48][""Right Middle Cingulate Cortex"": 0.29][""Right SMA"": 0.13]","[""Left Cingulate Gyrus"": 0.43][""Right Cingulate Gyrus"": 0.33][""Right Medial Frontal Gyrus"": 0.15]","[""Right Cingulate Gyrus; anterior division"": 0.40][""Left Cingulate Gyrus; anterior division"": 0.29][""Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)"": 0.16][""Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)"": 0.11]"
79,80,256, (-36.7;-71.0;-31.6),"[""None"": 0.94]",Cerebelum_Crus1_L,"[""Left Cerebellum"": 0.57][""Left Cerebellum"": 0.42]","[""Left Inferior Semi-Lunar Lobule"": 0.46][""Left Tuber"": 0.24][""Left Pyramis"": 0.16]","[""None"": 0.99]"
80,81,285, (13.5;-77.4;38.9),"[""None"": 0.88]",Cuneus_R,"[""Right Cuneus"": 0.55][""Right Superior Occipital Gyrus"": 0.15][""Right Precuneus"": 0.15][""Left Cuneus"": 0.11]","[""Right Precuneus"": 0.57][""Right Cuneus"": 0.43]","[""Right Cuneal Cortex"": 0.36][""Right Lateral Occipital Cortex; superior division"": 0.29][""Right Precuneous Cortex"": 0.29]"
81,82,211, (-42.9;-67.0;40.7),"[""None"": 0.84]",Angular_L,"[""Left Angular Gyrus"": 0.78][""Left Middle Occipital Gyrus"": 0.16]","[""Left Angular Gyrus"": 0.34][""Left Inferior Parietal Lobule"": 0.29][""Left Precuneus"": 0.20]","[""Left Lateral Occipital Cortex; superior division"": 0.97]"
82,83,204, (47.8;7.9;-9.3),"[""None"": 1.00]",Insula_R,"[""Right Temporal Pole"": 0.49][""Right Insula Lobe"": 0.34]","[""Right Superior Temporal Gyrus"": 0.60][""Right Insula"": 0.14][""Right Middle Temporal Gyrus"": 0.13][""Right Inferior Frontal Gyrus"": 0.13]","[""Right Temporal Pole"": 0.45][""Right Insular Cortex"": 0.35][""Right Planum Polare"": 0.12]"
83,84,83, (-12.4;5.4;14.0),"[""None"": 0.90]",Caudate_L,"[""Left Caudate Nucleus"": 0.87][""Left Putamen"": 0.13]","[""Left Caudate"": 0.84][""Left Lentiform Nucleus"": 0.11]","[""Left Caudate"": 0.88]"
84,85,213, (46.9;-73.6;15.5),"[""None"": 0.93]",Temporal_Mid_R,"[""Right Middle Occipital Gyrus"": 0.55][""Right Middle Temporal Gyrus"": 0.40]","[""Right Middle Temporal Gyrus"": 0.65][""Right Middle Occipital Gyrus"": 0.34]","[""Right Lateral Occipital Cortex; superior division"": 0.51][""Right Lateral Occipital Cortex; inferior division"": 0.49]"
85,86,185, (9.1;-43.9;-37.1),"[""None"": 1.00]",Cerebelum_9_R,"[""Right Cerebellum"": 0.54][""None"": 0.22][""Cerebellar Vermis"": 0.16]","[""None"": 0.48][""Right Cerebellar Tonsil"": 0.48]","[""None"": 1.00]"
86,87,142, (37.8;-12.8;-26.0),"[""None"": 1.00]",Fusiform_R,"[""Right Fusiform Gyrus"": 0.41][""Right Inferior Temporal Gyrus"": 0.24][""Right ParaHippocampal Gyrus"": 0.23]","[""Right Parahippocampal Gyrus"": 0.37][""Right Inferior Temporal Gyrus"": 0.33][""Right Fusiform Gyrus"": 0.14][""Right Uncus"": 0.13]","[""Right Temporal Fusiform Cortex; posterior division"": 0.38][""Right Hippocampus"": 0.28][""Right Temporal Fusiform Cortex; anterior division"": 0.13]"
87,88,167, (-57.3;-8.6;25.7),"[""None"": 0.88]",Postcentral_L,"[""Left Postcentral Gyrus"": 0.71][""Left Precentral Gyrus"": 0.22]","[""Left Precentral Gyrus"": 0.62][""Left Postcentral Gyrus"": 0.37]","[""Left Postcentral Gyrus"": 0.48][""Left Precentral Gyrus"": 0.44]"
88,89,341, (8.1;-74.0;6.5),"[""None"": 0.93]",Calcarine_R,"[""Right Lingual Gyrus"": 0.40][""Right Calcarine Gyrus"": 0.27][""Left Calcarine Gyrus"": 0.14]","[""Right Lingual Gyrus"": 0.44][""Right Cuneus"": 0.36]","[""Right Lingual Gyrus"": 0.46][""Right Intracalcarine Cortex"": 0.45]"
89,90,210, (-17.0;-16.1;70.0),"[""None"": 1.00]",Precentral_L,"[""Left Precentral Gyrus"": 0.43][""Left Paracentral Lobule"": 0.32][""Left Superior Frontal Gyrus"": 0.11]","[""None"": 0.44][""Left Precentral Gyrus"": 0.33][""Left Superior Frontal Gyrus"": 0.12]","[""Left Precentral Gyrus"": 0.77][""Left Superior Frontal Gyrus"": 0.20]"
90,91,198, (0.3;51.6;26.5),"[""None"": 0.89]",Frontal_Sup_Medial_L,"[""Left Superior Medial Gyrus"": 0.56][""Right Superior Medial Gyrus"": 0.32][""Right Anterior Cingulate Cortex"": 0.12]","[""Right Medial Frontal Gyrus"": 0.30][""Left Superior Frontal Gyrus"": 0.29][""Left Medial Frontal Gyrus"": 0.27][""Right Superior Frontal Gyrus"": 0.14]","[""Right Superior Frontal Gyrus"": 0.25][""Right Paracingulate Gyrus"": 0.25][""Left Superior Frontal Gyrus"": 0.17][""Left Paracingulate Gyrus"": 0.14][""Right Frontal Pole"": 0.13]"
91,92,220, (-18.7;-7.4;-15.9),"[""None"": 1.00]",Hippocampus_L,"[""Left Amygdala"": 0.35][""Left ParaHippocampal Gyrus"": 0.26][""Left Hippocampus"": 0.25]","[""Left Parahippocampal Gyrus"": 0.64][""Left Uncus"": 0.19]","[""Left Amygdala"": 0.50][""Left Hippocampus"": 0.23][""Left Parahippocampal Gyrus; anterior division"": 0.13]"
92,93,296, (40.6;-43.2;48.2),"[""None"": 0.95]",Parietal_Inf_R,"[""Right Inferior Parietal Lobule "": 0.60][""Right SupraMarginal Gyrus"": 0.15][""Right Angular Gyrus"": 0.13]","[""Right Inferior Parietal Lobule"": 0.71][""Right Postcentral Gyrus"": 0.12]","[""Right Superior Parietal Lobule"": 0.33][""Right Supramarginal Gyrus; posterior division"": 0.27][""Right Angular Gyrus"": 0.22][""Right Postcentral Gyrus"": 0.14]"
93,94,87, (14.2;-0.5;17.5),"[""None"": 1.00]",Caudate_R,"[""Right Caudate Nucleus"": 0.77][""Right Thalamus"": 0.16]","[""Right Caudate"": 0.68][""Right Thalamus"": 0.23]","[""Right Caudate"": 0.71][""Right Thalamus"": 0.26]"
94,95,265, (-26.0;11.7;56.2),"[""None"": 1.00]",Frontal_Mid_L,"[""Left Middle Frontal Gyrus"": 0.76][""Left Superior Frontal Gyrus"": 0.23]","[""Left Middle Frontal Gyrus"": 0.54][""Left Superior Frontal Gyrus"": 0.39]","[""Left Superior Frontal Gyrus"": 0.50][""Left Middle Frontal Gyrus"": 0.50]"
95,96,221, (-28.8;-35.9;62.4),"[""None"": 0.91]",Postcentral_L,"[""Left Postcentral Gyrus"": 0.67][""Left Superior Parietal Lobule "": 0.14][""Left Precentral Gyrus"": 0.13]","[""Left Postcentral Gyrus"": 0.68][""Left Precentral Gyrus"": 0.14]","[""Left Postcentral Gyrus"": 0.63][""Left Superior Parietal Lobule"": 0.26][""Left Precentral Gyrus"": 0.11]"
96,97,239, (-33.6;-81.3;26.2),"[""None"": 0.86]",Occipital_Mid_L,"[""Left Middle Occipital Gyrus"": 0.90]","[""Left Superior Occipital Gyrus"": 0.33][""Left Middle Temporal Gyrus"": 0.26][""Left Cuneus"": 0.22][""Left Middle Occipital Gyrus"": 0.15]","[""Left Lateral Occipital Cortex; superior division"": 0.98]"
97,98,216, (60.1;-1.3;25.0),"[""None"": 0.81]",Postcentral_R,"[""Right Postcentral Gyrus"": 0.44][""Right Rolandic Operculum"": 0.26][""RightPrecentral Gyrus"": 0.25]","[""Right Precentral Gyrus"": 0.75][""Right Inferior Frontal Gyrus"": 0.19]","[""Right Precentral Gyrus"": 0.66][""Right Postcentral Gyrus"": 0.27]"
98,99,188, (-58.0;-48.3;-8.1),"[""None"": 0.94]",Temporal_Mid_L,"[""Left Middle Temporal Gyrus"": 0.53][""Left Inferior Temporal Gyrus"": 0.47]","[""Left Middle Temporal Gyrus"": 0.56][""Left Inferior Temporal Gyrus"": 0.37]","[""Left Middle Temporal Gyrus; temporooccipital part"": 0.41][""Left Inferior Temporal Gyrus; temporooccipital part"": 0.28][""Left Middle Temporal Gyrus; posterior division"": 0.26]"
99,100,282, (48.0;-52.7;-16.7),"[""None"": 0.99]",Temporal_Inf_R,"[""Right Inferior Temporal Gyrus"": 0.54][""Right Fusiform Gyrus"": 0.19][""Right Cerebellum"": 0.18]","[""Right Fusiform Gyrus"": 0.35][""Right Tuber"": 0.18][""Right Culmen"": 0.18][""Right Declive"": 0.11]","[""Right Inferior Temporal Gyrus; temporooccipital part"": 0.51][""Right Temporal Occipital Fusiform Cortex"": 0.39]"
100,101,157, (-51.0;-3.6;-28.8),"[""None"": 1.00]",Temporal_Inf_L,"[""Left Inferior Temporal Gyrus"": 0.48][""Left Middle Temporal Gyrus"": 0.40]","[""Left Inferior Temporal Gyrus"": 0.52][""Left Middle Temporal Gyrus"": 0.35]","[""Left Middle Temporal Gyrus; anterior division"": 0.35][""Left Inferior Temporal Gyrus; anterior division"": 0.30][""Left Temporal Pole"": 0.21][""Left Inferior Temporal Gyrus; posterior division"": 0.11]"
101,102,179, (35.8;-86.8;9.6),"[""None"": 0.93]",Occipital_Mid_R,"[""Right Middle Occipital Gyrus"": 0.75][""Right Inferior Occipital Gyrus"": 0.25]","[""Right Middle Occipital Gyrus"": 0.99]","[""Right Lateral Occipital Cortex; inferior division"": 0.40][""Right Lateral Occipital Cortex; superior division"": 0.39][""Right Occipital Pole"": 0.21]"
102,103,165, (-28.4;-40.0;-30.7),"[""None"": 0.93]",Cerebelum_6_L,"[""Left Cerebellum"": 0.41][""Left Cerebellum"": 0.19][""Left Cerebellum"": 0.15]","[""Left Cerebellar Tonsil"": 0.66][""Left Culmen"": 0.29]","[""None"": 0.69][""Left Temporal Fusiform Cortex; posterior division"": 0.28]"
103,104,178, (-9.2;62.0;14.2),"[""None"": 1.00]",Frontal_Sup_Medial_L,"[""Left Superior Medial Gyrus"": 0.62][""Left Superior Frontal Gyrus"": 0.28]","[""Left Superior Frontal Gyrus"": 0.58][""Left Medial Frontal Gyrus"": 0.42]","[""Left Frontal Pole"": 0.89]"
104,105,275, (18.2;-55.5;3.2),"[""None"": 0.96]",Lingual_R,"[""Right Lingual Gyrus"": 0.64][""Right Calcarine Gyrus"": 0.19]","[""Right Lingual Gyrus"": 0.40][""Right Posterior Cingulate"": 0.19][""Right Culmen"": 0.19][""Right Parahippocampal Gyrus"": 0.12]","[""Right Lingual Gyrus"": 0.62][""Right Precuneous Cortex"": 0.16][""Right Intracalcarine Cortex"": 0.12]"
105,106,205, (28.6;34.6;42.0),"[""None"": 0.92]",Frontal_Mid_R,"[""Right Middle Frontal Gyrus"": 0.80][""Right Superior Frontal Gyrus"": 0.20]","[""Right Middle Frontal Gyrus"": 0.61][""Right Superior Frontal Gyrus"": 0.39]","[""Right Frontal Pole"": 0.47][""Right Middle Frontal Gyrus"": 0.42][""Right Superior Frontal Gyrus"": 0.11]"
106,107,254, (55.1;-28.8;0.1),"[""None"": 0.93]",Temporal_Sup_R,"[""Right Middle Temporal Gyrus"": 0.70][""Right Superior Temporal Gyrus"": 0.26]","[""Right Middle Temporal Gyrus"": 0.67][""Right Superior Temporal Gyrus"": 0.33]","[""Right Superior Temporal Gyrus; posterior division"": 0.52][""Right Middle Temporal Gyrus; posterior division"": 0.34]"
107,108,266, (-6.9;-93.4;1.1),"[""None"": 0.93]",Calcarine_L,"[""Left Calcarine Gyrus"": 0.61][""Left Lingual Gyrus"": 0.20]","[""Left Lingual Gyrus"": 0.51][""Left Cuneus"": 0.41]","[""Left Occipital Pole"": 0.55][""Left Intracalcarine Cortex"": 0.20][""Left Lingual Gyrus"": 0.12]"
108,109,193, (1.4;55.9;-7.2),"[""None"": 0.97]",Frontal_Med_Orb_L,"[""Left Mid Orbital Gyrus"": 0.42][""Right Mid Orbital Gyrus"": 0.41]","[""Right Medial Frontal Gyrus"": 0.42][""Left Medial Frontal Gyrus"": 0.40]","[""Right Frontal Pole"": 0.50][""Left Frontal Pole"": 0.26]"
109,110,212, (30.9;5.8;-19.0),"[""None"": 1.00]",Temporal_Pole_Sup_R,"[""Right Temporal Pole"": 0.44][""Right Amygdala"": 0.18][""Right Insula Lobe"": 0.13][""Right ParaHippocampal Gyrus"": 0.11]","[""Right Superior Temporal Gyrus"": 0.42][""Right Uncus"": 0.18][""Right Inferior Frontal Gyrus"": 0.18][""Right Parahippocampal Gyrus"": 0.16]","[""Right Temporal Pole"": 0.31][""Right Frontal Orbital Cortex"": 0.24][""Right Amygdala"": 0.22][""Right Insular Cortex"": 0.13]"
110,111,296, (2.1;-23.6;68.5),"[""None"": 1.00]",Paracentral_Lobule_L,"[""Left Paracentral Lobule"": 0.37][""Right Paracentral Lobule"": 0.33][""Right SMA"": 0.23]","[""None"": 0.39][""Right Medial Frontal Gyrus"": 0.17][""Left Medial Frontal Gyrus"": 0.16][""Right Paracentral Lobule"": 0.13][""Left Paracentral Lobule"": 0.13]","[""Right Precentral Gyrus"": 0.65][""Left Precentral Gyrus"": 0.28]"
111,112,227, (-28.9;12.1;-16.6),"[""None"": 1.00]",Insula_L,"[""Left Temporal Pole"": 0.38][""Left Inferior Frontal Gyrus (p. Orbitalis)"": 0.35][""Left Insula Lobe"": 0.26]","[""Left Inferior Frontal Gyrus"": 0.48][""Left Superior Temporal Gyrus"": 0.34]","[""Left Frontal Orbital Cortex"": 0.53][""Left Insular Cortex"": 0.23][""Left Temporal Pole"": 0.20]"
112,113,195, (42.9;49.6;-4.4),"[""None"": 0.89]",Frontal_Mid_Orb_R,"[""Right Middle Orbital Gyrus"": 0.62][""Right Inferior Frontal Gyrus (p. Orbitalis)"": 0.29]","[""Right Middle Frontal Gyrus"": 0.81][""Right Inferior Frontal Gyrus"": 0.19]","[""Right Frontal Pole"": 1.00]"
113,114,287, (-25.8;-74.1;41.1),"[""None"": 0.96]",Occipital_Mid_L,"[""Left Middle Occipital Gyrus"": 0.43][""Left Superior Occipital Gyrus"": 0.25][""Left Inferior Parietal Lobule "": 0.17][""Left Superior Parietal Lobule "": 0.15]","[""Left Precuneus"": 0.66][""Left Superior Parietal Lobule"": 0.16][""Left Cuneus"": 0.11]","[""Left Lateral Occipital Cortex; superior division"": 0.96]"
114,115,239, (44.4;0.9;50.0),"[""None"": 1.00]",Precentral_R,"[""RightPrecentral Gyrus"": 0.62][""Right Middle Frontal Gyrus"": 0.37]","[""Right Middle Frontal Gyrus"": 0.58][""Right Precentral Gyrus"": 0.40]","[""Right Precentral Gyrus"": 0.56][""Right Middle Frontal Gyrus"": 0.44]"
115,116,184, (-55.9;-28.7;36.6),"[""None"": 0.97]",SupraMarginal_L,"[""Left SupraMarginal Gyrus"": 0.71][""Left Inferior Parietal Lobule "": 0.21]","[""Left Inferior Parietal Lobule"": 0.60][""Left Postcentral Gyrus"": 0.38]","[""Left Supramarginal Gyrus; anterior division"": 0.70][""Left Postcentral Gyrus"": 0.26]"
116,117,273, (-56.8;-48.2;9.0),"[""None"": 0.90]",Temporal_Mid_L,"[""Left Middle Temporal Gyrus"": 0.89]","[""Left Middle Temporal Gyrus"": 0.58][""Left Superior Temporal Gyrus"": 0.42]","[""Left Middle Temporal Gyrus; temporooccipital part"": 0.44][""Left Superior Temporal Gyrus; posterior division"": 0.20][""Left Supramarginal Gyrus; posterior division"": 0.16][""Left Angular Gyrus"": 0.12]"
117,118,267, (21.1;-59.3;-25.2),"[""None"": 0.89]",Cerebelum_6_R,"[""Right Cerebellum"": 0.60][""Right Cerebellum"": 0.12]","[""Right Culmen"": 0.29][""Right Cerebellar Tonsil"": 0.20][""Right Pyramis"": 0.12][""Right Declive"": 0.11]","[""None"": 0.99]"
118,119,254, (55.8;3.8;5.8),"[""None"": 0.98]",Rolandic_Oper_R,"[""Right Rolandic Operculum"": 0.30][""Right Superior Temporal Gyrus"": 0.24][""Right Inferior Frontal Gyrus (p. Opercularis)"": 0.21][""Right Temporal Pole"": 0.19]","[""Right Superior Temporal Gyrus"": 0.51][""Right Precentral Gyrus"": 0.33]","[""Right Central Opercular Cortex"": 0.30][""Right Precentral Gyrus"": 0.19][""Right Inferior Frontal Gyrus; pars opercularis"": 0.17][""Right Planum Polare"": 0.15]"
119,120,249, (-17.3;-81.3;-30.9),"[""None"": 0.88]",Cerebelum_Crus2_L,"[""Left Cerebellum"": 0.68][""Left Cerebellum"": 0.28]","[""Left Inferior Semi-Lunar Lobule"": 0.34][""Left Pyramis"": 0.31][""Left Uvula"": 0.22]","[""None"": 0.95]"
120,121,210, (-39.7;-12.9;13.3),"[""None"": 0.83]",Rolandic_Oper_L,"[""Left Insula Lobe"": 0.39][""Left Rolandic Operculum"": 0.37][""Left Heschls Gyrus"": 0.20]","[""Left Insula"": 0.80]","[""Left Central Opercular Cortex"": 0.49][""Left Insular Cortex"": 0.39]"
121,122,238, (-27.6;-38.0;-11.4),"[""None"": 0.91]",Fusiform_L,"[""Left Fusiform Gyrus"": 0.53][""Left ParaHippocampal Gyrus"": 0.24][""Left Hippocampus"": 0.12]","[""Left Parahippocampal Gyrus"": 0.39][""Left Culmen"": 0.37][""Left Fusiform Gyrus"": 0.18]","[""Left Temporal Fusiform Cortex; posterior division"": 0.32][""Left Hippocampus"": 0.31][""Left Parahippocampal Gyrus; posterior division"": 0.24]"
122,123,292, (0.4;-15.1;51.8),"[""None"": 0.99]",Supp_Motor_Area_L,"[""Left Middle Cingulate Cortex"": 0.27][""Right Middle Cingulate Cortex"": 0.26][""Left SMA"": 0.22][""Right SMA"": 0.17]","[""Right Medial Frontal Gyrus"": 0.36][""Left Medial Frontal Gyrus"": 0.35][""Right Paracentral Lobule"": 0.12]","[""Right Precentral Gyrus"": 0.27][""Left Precentral Gyrus"": 0.21][""Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)"": 0.18][""Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)"": 0.17]"
123,124,67, (28.3;43.8;-13.5),"[""None"": 1.00]",Frontal_Mid_Orb_R,"[""Right Middle Orbital Gyrus"": 0.78][""Right Inferior Frontal Gyrus (p. Orbitalis)"": 0.12]","[""Right Middle Frontal Gyrus"": 0.51][""Right Superior Frontal Gyrus"": 0.49]","[""Right Frontal Pole"": 1.00]"
124,125,203, (-30.6;38.0;33.8),"[""None"": 1.00]",Frontal_Mid_L,"[""Left Middle Frontal Gyrus"": 0.95]","[""Left Middle Frontal Gyrus"": 0.69][""Left Superior Frontal Gyrus"": 0.30]","[""Left Frontal Pole"": 0.58][""Left Middle Frontal Gyrus"": 0.41]"
125,126,228, (35.7;-73.0;-30.6),"[""None"": 0.91]",Cerebelum_Crus1_R,"[""Right Cerebellum"": 0.61][""Right Cerebellum"": 0.35]","[""Right Inferior Semi-Lunar Lobule"": 0.43][""Right Tuber"": 0.26][""Right Pyramis"": 0.15]","[""None"": 0.99]"
126,127,205, (31.0;18.0;52.7),"[""None"": 1.00]",Frontal_Mid_R,"[""Right Middle Frontal Gyrus"": 0.76][""Right Superior Frontal Gyrus"": 0.24]","[""Right Superior Frontal Gyrus"": 0.61][""Right Middle Frontal Gyrus"": 0.34]","[""Right Middle Frontal Gyrus"": 0.70][""Right Superior Frontal Gyrus"": 0.30]"
127,128,282, (61.2;-31.4;26.6),"[""None"": 0.97]",SupraMarginal_R,"[""Right Superior Temporal Gyrus"": 0.51][""Right SupraMarginal Gyrus"": 0.46]","[""Right Inferior Parietal Lobule"": 0.68][""Right Postcentral Gyrus"": 0.17][""Right Superior Temporal Gyrus"": 0.13]","[""Right Supramarginal Gyrus; posterior division"": 0.33][""Right Supramarginal Gyrus; anterior division"": 0.30][""Right Parietal Operculum Cortex"": 0.23]"
128,129,247, (-45.0;-0.7;-14.6),"[""None"": 1.00]",Temporal_Sup_L,"[""Left Superior Temporal Gyrus"": 0.28][""Left Middle Temporal Gyrus"": 0.28][""Left Temporal Pole"": 0.23]","[""Left Middle Temporal Gyrus"": 0.43][""Left Superior Temporal Gyrus"": 0.33][""Left Parahippocampal Gyrus"": 0.11]","[""Left Temporal Pole"": 0.26][""Left Planum Polare"": 0.24][""Left Superior Temporal Gyrus; anterior division"": 0.17]"
129,130,177, (0.7;-3.4;-8.7),"[""None"": 1.00]",None,"[""None"": 0.65]","[""None"": 0.56][""Left Subcallosal Gyrus"": 0.12]","[""None"": 0.69]"
130,131,188, (-25.5;-92.9;12.0),"[""None"": 0.93]",Occipital_Mid_L,"[""Left Middle Occipital Gyrus"": 0.96]","[""Left Middle Occipital Gyrus"": 0.66][""Left Cuneus"": 0.34]","[""Left Occipital Pole"": 0.63][""Left Lateral Occipital Cortex; superior division"": 0.34]"
131,132,206, (29.9;-67.5;47.3),"[""None"": 0.93]",Parietal_Sup_R,"[""Right Superior Occipital Gyrus"": 0.46][""Right Angular Gyrus"": 0.29][""Right Superior Parietal Lobule "": 0.16]","[""Right Superior Parietal Lobule"": 0.50][""Right Precuneus"": 0.40]","[""Right Lateral Occipital Cortex; superior division"": 0.99]"
132,133,206, (-9.1;46.4;40.6),"[""None"": 0.99]",Frontal_Sup_Medial_L,"[""Left Superior Medial Gyrus"": 0.62][""Left Superior Frontal Gyrus"": 0.36]","[""Left Superior Frontal Gyrus"": 0.64][""Left Medial Frontal Gyrus"": 0.29]","[""Left Frontal Pole"": 0.65][""Left Superior Frontal Gyrus"": 0.24]"
133,134,178, (24.6;-13.5;67.0),"[""None"": 1.00]",Frontal_Sup_R,"[""RightPrecentral Gyrus"": 0.58][""Right Superior Frontal Gyrus"": 0.34]","[""Right Precentral Gyrus"": 0.46][""None"": 0.21][""Right Superior Frontal Gyrus"": 0.19][""Right Middle Frontal Gyrus"": 0.13]","[""Right Precentral Gyrus"": 0.75][""Right Superior Frontal Gyrus"": 0.23]"
134,135,143, (15.3;14.6;7.0),"[""None"": 0.95]",Caudate_R,"[""Right Caudate Nucleus"": 0.86][""Right Putamen"": 0.11]","[""Right Caudate"": 0.78][""Right Lentiform Nucleus"": 0.22]","[""Right Caudate"": 0.85][""Right Putamen"": 0.12]"
135,136,247, (-14.0;-66.3;55.9),"[""None"": 1.00]",Parietal_Sup_L,"[""Left Superior Parietal Lobule "": 0.56][""Left Precuneus"": 0.44]","[""Left Precuneus"": 0.57][""Left Superior Parietal Lobule"": 0.28][""None"": 0.15]","[""Left Lateral Occipital Cortex; superior division"": 0.67][""Left Precuneous Cortex"": 0.29]"
136,137,237, (40.7;-11.3;-3.9),"[""None"": 0.91]",Insula_R,"[""Right Insula Lobe"": 0.34][""Right Superior Temporal Gyrus"": 0.21][""Right Hippocampus"": 0.18][""Right Putamen"": 0.13]","[""Right Insula"": 0.41][""None"": 0.18][""Right Superior Temporal Gyrus"": 0.16]","[""Right Insular Cortex"": 0.44][""Right Planum Polare"": 0.32]"
137,138,314, (22.5;-69.6;-11.3),"[""None"": 0.92]",Lingual_R,"[""Right Cerebellum"": 0.52][""Right Fusiform Gyrus"": 0.25][""Right Lingual Gyrus"": 0.18]","[""Right Declive"": 0.57][""Right Lingual Gyrus"": 0.19][""Right Fusiform Gyrus"": 0.11]","[""Right Occipital Fusiform Gyrus"": 0.47][""Right Lingual Gyrus"": 0.35][""None"": 0.12]"
138,139,202, (10.7;63.0;10.0),"[""None"": 0.91]",Frontal_Sup_Medial_R,"[""Right Superior Medial Gyrus"": 0.55][""Right Superior Frontal Gyrus"": 0.22][""Right Mid Orbital Gyrus"": 0.13]","[""Right Medial Frontal Gyrus"": 0.50][""Right Superior Frontal Gyrus"": 0.45]","[""Right Frontal Pole"": 0.99]"
