sortedNodeID,originalNodeID,NodeGrouping,Node ,AAc-6,regionName,regionLongName,regionIdLabel,LR,region,Lobe,cortex,regionID,Cortex_ID,x-cog,y-cog,z-cog,volmm,broad_region
77,135,11,L_TF_ROI,DMN,TF_L,Area_TF_L,135_L,L,TF,Temp,Medial_Temporal,135,13,132.406298,105.142089,41.219662,2604,Auditory
78,155,11,L_PHA2_ROI,DMN,PHA2_L,ParaHippocampal_Area_2_L,155_L,L,PHA2,Temp,Medial_Temporal,155,13,121.389831,90.169492,58.122881,236,Auditory
79,298,11,R_EC_ROI,DMN,EC_R,Entorhinal_Cortex_R,318_R,R,EC,Temp,Medial_Temporal,318,13,70.108232,115.451982,45.18064,1312,Auditory
80,299,11,R_PreS_ROI,DMN,PreS_R,PreSubiculum_R,319_R,R,PreS,Temp,Medial_Temporal,319,13,70.221751,95.334746,62.004237,708,Auditory
81,300,11,R_H_ROI,DMN,H_R,Hippocampus_R,320_R,R,H,Temp,Medial_Temporal,320,13,60.712375,103.927258,54.33194,1196,Auditory
82,302,11,R_PeEc_ROI,DMN,PeEc_R,Perirhinal_Ectorhinal_Cortex_R,322_R,R,PeEc,Temp,Medial_Temporal,322,13,63.003326,117.21583,36.977054,3007,Auditory
83,306,11,R_PHA1_ROI,DMN,PHA1_R,ParaHippocampal_Area_1_R,326_R,R,PHA1,Temp,Medial_Temporal,326,13,70.162458,92.5,55.005892,1188,Auditory
84,307,11,R_PHA3_ROI,DMN,PHA3_R,ParaHippocampal_Area_3_R,327_R,R,PHA3,Temp,Medial_Temporal,327,13,56.793319,89.695198,55.185804,479,Auditory
85,315,11,R_TF_ROI,DMN,TF_R,Area_TF_R,335_R,R,TF,Temp,Medial_Temporal,335,13,49.626318,105.570338,41.435842,2751,Auditory
86,335,11,R_PHA2_ROI,DMN,PHA2_R,ParaHippocampal_Area_2_R,355_R,R,PHA2,Temp,Medial_Temporal,355,13,60.39823,91.648968,57.716814,339,Auditory
87,3,3,L_V6_ROI,Visual,V6_L,Sixth_Visual_Area_L,3_L,L,V6,Occ,Dorsal_Stream_Visual,3,3,104.543112,44.481665,103.916749,1009,Early_and_Intermediate_Visual_Cortex
88,13,3,L_V3A_ROI,Visual,V3A_L,Area_V3A_L,13_L,L,V3A,Occ,Dorsal_Stream_Visual,13,3,104.528505,33.597072,99.335131,1298,Early_and_Intermediate_Visual_Cortex
89,16,3,L_V7_ROI,Visual,V7_L,Seventh_Visual_Area_L,16_L,L,V7,Occ,Dorsal_Stream_Visual,16,3,114.850993,39.443709,100.271523,604,Early_and_Intermediate_Visual_Cortex
90,17,3,L_IPS1_ROI,Visual,IPS1_L,IntraParietal_Sulcus_Area_1_L,17_L,L,IPS1,Par,Dorsal_Stream_Visual,17,3,114.19184,51.537326,110.430556,1152,Early_and_Intermediate_Visual_Cortex
91,19,3,L_V3B_ROI,Visual,V3B_L,Area_V3B_L,19_L,L,V3B,Occ,Dorsal_Stream_Visual,19,3,117.755656,42.828054,88.434389,442,Early_and_Intermediate_Visual_Cortex
92,152,3,L_V6A_ROI,Visual,V6A_L,Area_V6A_L,152_L,L,V6A,Occ,Dorsal_Stream_Visual,152,3,112.534483,39.66092,114.188218,696,Early_and_Intermediate_Visual_Cortex
93,183,3,R_V6_ROI,Visual,V6_R,Sixth_Visual_Area_R,203_R,R,V6,Occ,Dorsal_Stream_Visual,203,3,72.226868,49.256228,102.929715,1124,Early_and_Intermediate_Visual_Cortex
94,193,3,R_V3A_ROI,Visual,V3A_R,Area_V3A_R,213_R,R,V3A,Occ,Dorsal_Stream_Visual,213,3,75.553398,36.584466,102.458252,1545,Early_and_Intermediate_Visual_Cortex
95,196,3,R_V7_ROI,Visual,V7_R,Seventh_Visual_Area_R,216_R,R,V7,Occ,Dorsal_Stream_Visual,216,3,62.285714,42.400534,103.668892,749,Early_and_Intermediate_Visual_Cortex
96,197,3,R_IPS1_ROI,Visual,IPS1_R,IntraParietal_Sulcus_Area_1_R,217_R,R,IPS1,Par,Dorsal_Stream_Visual,217,3,64.710065,55.195753,111.066482,1083,Early_and_Intermediate_Visual_Cortex
97,199,3,R_V3B_ROI,Visual,V3B_R,Area_V3B_R,219_R,R,V3B,Occ,Dorsal_Stream_Visual,219,3,60.919386,48.422265,91.56238,521,Early_and_Intermediate_Visual_Cortex
98,332,3,R_V6A_ROI,Visual,V6A_R,Area_V6A_R,352_R,R,V6A,Par,Dorsal_Stream_Visual,352,3,66.971053,43.206579,117.961842,760,Early_and_Intermediate_Visual_Cortex
99,4,6,L_V2_ROI,Visual,V2_L,Second_Visual_Area_L,4_L,L,V2,Occ,Early_Visual,4,2,102.236656,44.064791,74.401125,6220,Early_and_Intermediate_Visual_Cortex
